Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.003437500345,-0.073212826740928,-0.124597721500322,
,,,-0.0033854170125,-0.0707404647837393,-0.149421835783869,
,,,-0.00333333368,-0.0682681028265506,-0.126507268752903,
,,,-0.0032812503475,-0.06620780119556,-0.103592701721936,
,,,-0.003229167015,-0.0637354392383713,-0.0902258709538728,
,,,-0.0031770836825,-0.0608510169549845,-0.122688174247742,
,,,-0.00312500035,-0.0579665946715977,-0.145602741278708,
,,,-0.0030729170175,-0.0546701120620128,-0.0749494929332286,
,,,-0.003020833685,-0.0513736294524278,-0.120778626995161,
,,,-0.0029687503525,-0.0472530261904467,-0.111230890732259,
,,,-0.00291666702,-0.0431324229284655,-0.069220851175487,
,,,-0.0028645836875,-0.0381876990140881,-0.166607761057094,
,,,-0.002812500355,-0.0336550354259089,-0.124597721500322,
,,,-0.0027604170225,-0.0278861908591352,-0.185703233582899,
,,,-0.00270833369,-0.0221173462923616,-0.204798706108704,
,,,-0.0026562503575,-0.016348501725588,-0.22580372588709,
,,,-0.002604167025,-0.0105796571588144,-0.286909237969667,
